Date,CIN,Product Name,Account_ID,Sector,Old_Rating,New_Rating
9/19/2021,CL2266549,Corporate_Loans,D_AA12,Materials,A,A
9/19/2021,CL2266550,Corporate_Loans,D_AA13,Industrials,BBB,BBB
9/19/2021,CL2266551,Corporate_Loans,D_AA14,Financials,BB,BB
9/19/2021,CL2266552,Corporate_Loans,D_AA15,Energy,AA,AA
9/19/2021,CL2266553,Corporate_Loans,D_AA16,Consumer discretionary,AA,AA
9/19/2021,CL2266554,Corporate_Loans,D_AA17,Information technology,AA,AA
9/19/2021,CL2266555,Corporate_Loans,D_AA18,Communication services,BBB,BB
9/19/2021,CL2266556,Corporate_Loans,D_AA19,Real estate,AA,AA
9/19/2021,CL2266557,Corporate_Loans,D_AA20,Health care,AA,AA
9/19/2021,CL2266558,Corporate_Loans,D_AA21,Consumer staples,AA,AA
9/19/2021,CL2266559,Corporate_Loans,D_AA22,Utilities,BB,B
9/19/2021,CL2266560,Corporate_Loans,D_AA23,Materials,BB,B
9/19/2021,CL2266561,Corporate_Loans,D_AA24,Industrials,BBB,BB
9/19/2021,CL2266562,Corporate_Loans,D_AA25,Financials,D,D
9/19/2021,CL2266563,Corporate_Loans,D_AA26,Energy,C,D
9/19/2021,CL2266564,Corporate_Loans,D_AA27,Consumer discretionary,BBB,BBB
9/19/2021,CL2266565,Corporate_Loans,D_AA28,Information technology,BBB,BBB
9/19/2021,CL2266566,Corporate_Loans,D_AA29,Communication services,BBB,BBB
9/19/2021,CL2266567,Corporate_Loans,D_AA30,Real estate,BBB,BBB
9/19/2021,CL2266568,Corporate_Loans,D_AA31,Health care,BBB,BBB
9/19/2021,CL2266569,Corporate_Loans,D_AA32,Health care,BBB,BBB
