account_no,product_code,basel_collateral_code,basel_collateral_code_02,basel_collateral_code_03,basel_collateral_code_04,basel_collateral_code_05
AA12,P01,B_coll_02|20000|AAA|Greater than 1 less than equal to 5 ,,,,
AA13,P20,B_coll_02|2000|AAA|Greater than 1 less than equal to 5 ,B_coll_07|21000|AA|less than equal to 1,,,
AA14,P12,,,,,
AA15,P15,B_coll_04|5000|AAA| less than equal to 1,B_coll_05|5000|AAA|Greater than 1 less than equal to 5,B_coll_06|15000|AAA|greater than 5 year,B_coll_07|25000|AA|less than equal to 1,B_coll_08|35000|AA|Greater than 1 less than equal to 5
AA16,P14,B_coll_06|10000|AAA|greater than 5 year,B_coll_07|20000|AA|less than equal to 1,B_coll_08|50000|AA|Greater than 1 less than equal to 5,B_coll_09|500|AA|greater than 5 year,
AA17,P15,B_coll_06|1000|AAA|greater than 5 year,B_coll_06|11000|AAA|greater than 5 year,B_coll_06|20000|AAA|greater than 5 year,B_coll_10|20000|AA-|less than equal to 1,
AA18,P07,B_coll_07,B_coll_07,B_coll_07,B_coll_07,
AA19,P08,B_coll_08,B_coll_08,B_coll_08,B_coll_08,
AA20,P09,B_coll_25,B_coll_30,B_coll_35,,
AA21,P10,B_coll_10|20000|AA-|less than equal to 1,B_coll_15,B_coll_20,,
AA22,P11,,,,,
AA23,P12,,,,,
AA24,P13,,,,,
AA25,P14,,,,,
AA26,P15,,,,,
AA27,P16,,,,,
AA28,P17,,,,,
AA29,P18,,,,,
AA30,P19,,,,,
AA31,P20,,,,,
AA32,P21,,,,,
D_AA12,P01,,,,,
D_AA13,P20,,,,,
D_AA14,P12,,,,,
D_AA15,P15,,,,,
D_AA16,P14,,,,,
D_AA17,P15,,,,,
D_AA18,P07,,,,,
D_AA19,P08,,,,,
D_AA20,P09,,,,,
D_AA21,P10,,,,,
D_AA22,P11,,,,,
D_AA23,P12,,,,,
D_AA24,P13,,,,,
D_AA25,P14,,,,,
D_AA26,P15,,,,,
D_AA27,P16,,,,,
D_AA28,P17,,,,,
D_AA29,P18,,,,,
D_AA30,P19,,,,,
D_AA31,P20,,,,,
D_AA32,P21,,,,,
